date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Restricted Cash,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2026-04-30,356393196.0,356393196.0,79479000.0,488035000.0,254457000.0,891273000.0,546429000.0,254457000.0,40466000.0,443704000.0,891273000.0,443704000.0,443704000.0,4921000.0,4921000.0,-1588733000.0,2027480000.0,36000.0,36000.0,807727000.0,505178000.0,1085000.0,,19450000.0,16240000.0,484643000.0,37074000.0,447569000.0,302549000.0,896000.0,239165000.0,230682000.0,3392000.0,3392000.0,,59096000.0,41409000.0,17687000.0,8647000.0,9040000.0,1251431000.0,402453000.0,14554000.0,189247000.0,46136000.0,143111000.0,198652000.0,-243938000.0,442590000.0,17774000.0,91894000.0,306431000.0,26491000.0,0.0,848978000.0,46299000.0,896000.0,9343000.0,61605000.0,61605000.0,-8000.0,61613000.0,730835000.0,362745000.0,368090000.0
2026-01-31,335331248.0,335331248.0,217443000.0,462480000.0,-3129000.0,635315000.0,305907000.0,-3129000.0,15596000.0,188431000.0,635315000.0,188431000.0,188431000.0,6362000.0,6362000.0,-1449861000.0,1631896000.0,34000.0,34000.0,957255000.0,487800000.0,1060000.0,0.0,31556000.0,27522000.0,455184000.0,8300000.0,446884000.0,469455000.0,175101000.0,230249000.0,220572000.0,7296000.0,7296000.0,0.0,56809000.0,39825000.0,16984000.0,6372000.0,10612000.0,1145686000.0,370324000.0,13603000.0,191560000.0,48108000.0,143452000.0,165161000.0,-237979000.0,403140000.0,17544000.0,79114000.0,281968000.0,24514000.0,0.0,775362000.0,44984000.0,642000.0,6118000.0,83528000.0,83528000.0,-3000.0,83531000.0,640090000.0,410649000.0,229441000.0
2025-10-31,313594977.0,313594977.0,2852000.0,461353000.0,164005000.0,795759000.0,565554000.0,164005000.0,15152000.0,349558000.0,795759000.0,349558000.0,349558000.0,4458000.0,4458000.0,-1297406000.0,1642478000.0,28000.0,28000.0,756502000.0,567913000.0,4078000.0,56820000.0,53605000.0,48332000.0,453410000.0,7209000.0,446201000.0,188589000.0,3897000.0,151080000.0,145857000.0,7943000.0,7943000.0,0.0,25669000.0,19040000.0,6629000.0,3181000.0,3448000.0,1106060000.0,351917000.0,7330000.0,185553000.0,46599000.0,138954000.0,159034000.0,-231106000.0,390140000.0,17481000.0,94769000.0,254503000.0,23387000.0,0.0,754143000.0,29581000.0,906000.0,,46332000.0,46332000.0,-31000.0,46363000.0,677324000.0,233975000.0,443349000.0
2025-07-31,307886217.0,307886217.0,,17542000.0,249854000.0,435689000.0,151972000.0,249854000.0,17542000.0,435689000.0,435689000.0,435689000.0,435689000.0,3852000.0,3852000.0,-1238221000.0,1670030000.0,28000.0,28000.0,260736000.0,57245000.0,3212000.0,13369000.0,31525000.0,25013000.0,9139000.0,9139000.0,,203491000.0,9226000.0,154655000.0,148006000.0,8403000.0,8403000.0,0.0,31207000.0,17932000.0,13275000.0,2222000.0,11053000.0,696425000.0,340962000.0,7740000.0,185835000.0,47191000.0,138644000.0,147387000.0,-258311000.0,405698000.0,17468000.0,74481000.0,291491000.0,22258000.0,0.0,355463000.0,25977000.0,6316000.0,,51633000.0,51633000.0,-396000.0,52029000.0,271537000.0,90450000.0,181087000.0
2025-04-30,303403367.0,303403367.0,,19622000.0,258765000.0,444802000.0,170258000.0,258765000.0,19622000.0,444802000.0,444802000.0,444802000.0,444802000.0,3694000.0,3694000.0,-1215629000.0,1656709000.0,28000.0,28000.0,213588000.0,59034000.0,3112000.0,7690000.0,37426000.0,29676000.0,10806000.0,10806000.0,,154554000.0,9482000.0,116151000.0,108336000.0,8816000.0,8816000.0,0.0,20105000.0,13463000.0,6642000.0,2545000.0,4097000.0,658390000.0,333578000.0,7141000.0,186037000.0,47547000.0,138490000.0,140400000.0,-253502000.0,393902000.0,17339000.0,69903000.0,285061000.0,21599000.0,0.0,324812000.0,17447000.0,6607000.0,,74663000.0,74663000.0,-1460000.0,76123000.0,226095000.0,92624000.0,133471000.0
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,18077000.0,,,,,,,,,,,,250000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
